,tag,form,0
782,ORG,"['?', 'sg g', 'pl g', 'sg in']",2
783,ORG,"['?', 'sg g', 'pl g', 'sg n']",1
784,ORG,"['?', 'sg g', 'pl g']",11
785,ORG,"['?', 'sg g', 'pl in']",5
786,ORG,"['?', 'sg g', 'pl kom']",1
787,ORG,"['?', 'sg g', 'pl n', 'sg n', 'sg g']",1
788,ORG,"['?', 'sg g', 'pl n']",28
789,ORG,"['?', 'sg g', 'pl p']",2
790,ORG,"['?', 'sg g', 'sg abl']",4
791,ORG,"['?', 'sg g', 'sg ad', 'sg g']",1
792,ORG,"['?', 'sg g', 'sg ad']",14
793,ORG,"['?', 'sg g', 'sg all', '']",1
794,ORG,"['?', 'sg g', 'sg all', 'sg all']",1
795,ORG,"['?', 'sg g', 'sg all']",24
47,LOC,"['?', 'sg g', 'sg all']",1
796,ORG,"['?', 'sg g', 'sg el', 'sg el']",1
797,ORG,"['?', 'sg g', 'sg el', 'sg g']",1
798,ORG,"['?', 'sg g', 'sg el']",9
48,LOC,"['?', 'sg g', 'sg el']",3
799,ORG,"['?', 'sg g', 'sg g', '?', 'pl g']",1
800,ORG,"['?', 'sg g', 'sg g', '?', 'sg g']",1
801,ORG,"['?', 'sg g', 'sg g', '?']",3
802,ORG,"['?', 'sg g', 'sg g', 'pl g', 'sg g', 'sg g']",1
803,ORG,"['?', 'sg g', 'sg g', 'pl g']",1
804,ORG,"['?', 'sg g', 'sg g', 'pl n', 'sg n']",1
805,ORG,"['?', 'sg g', 'sg g', 'pl n']",2
806,ORG,"['?', 'sg g', 'sg g', 'pl p']",1
807,ORG,"['?', 'sg g', 'sg g', 'sg all']",1
808,ORG,"['?', 'sg g', 'sg g', 'sg el']",2
809,ORG,"['?', 'sg g', 'sg g', 'sg es']",1
810,ORG,"['?', 'sg g', 'sg g', 'sg g', '?', '', '?', '']",1
811,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg g', 'sg g']",2
812,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg g', 'sg n']",2
813,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg g']",6
814,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg ill']",1
815,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg in', 'sg n', 'sg g']",1
816,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg in']",4
817,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg n']",4
818,ORG,"['?', 'sg g', 'sg g', 'sg g', 'sg tr']",1
819,ORG,"['?', 'sg g', 'sg g', 'sg g']",47
820,ORG,"['?', 'sg g', 'sg g', 'sg ill']",1
821,ORG,"['?', 'sg g', 'sg g', 'sg in']",1
822,ORG,"['?', 'sg g', 'sg g', 'sg n']",12
2880,PER,"['?', 'sg g', 'sg g']",1
49,LOC,"['?', 'sg g', 'sg g']",10
823,ORG,"['?', 'sg g', 'sg g']",424
824,ORG,"['?', 'sg g', 'sg ill']",4
825,ORG,"['?', 'sg g', 'sg in', 'sg g']",1
826,ORG,"['?', 'sg g', 'sg in', 'sg n', 'sg g']",1
827,ORG,"['?', 'sg g', 'sg in']",33
50,LOC,"['?', 'sg g', 'sg in']",9
828,ORG,"['?', 'sg g', 'sg kom']",12
51,LOC,"['?', 'sg g', 'sg kom']",1
829,ORG,"['?', 'sg g', 'sg n', '', 'sg n']",1
830,ORG,"['?', 'sg g', 'sg n', '?']",1
2881,PER,"['?', 'sg g', 'sg n', '?']",1
831,ORG,"['?', 'sg g', 'sg n', 'pl n']",1
832,ORG,"['?', 'sg g', 'sg n', 'sg all']",1
833,ORG,"['?', 'sg g', 'sg n', 'sg el', 'sg ter']",1
