,lemma,tag,0
773,Anttila,PER,37
774,Antverpen,LOC,13
775,Antverpen,ORG,1
776,Antverpen,PER,12
777,Anu,LOC,1
778,Anu,ORG,1
779,Anu,PER,113
780,Anu Liivak,ORG,1
781,Anu Liivak,PER,9
782,Anu juuraku,ORG,2
783,Anu juuraku,PER,7
784,Anu lamp,ORG,1
785,Anu lamp,PER,22
786,Anubis,LOC,1
787,Anubis,PER,10
788,Anupama,ORG,1
789,Anupama,PER,3
790,Anwar sada,ORG,1
791,Anwar sada,PER,2
792,Anzhela,LOC,1
793,Anzhela,ORG,2
794,Anzhela,PER,4
795,Anzor Barkalaja,ORG,1
796,Anzor Barkalaja,PER,2
797,Ao Peep,ORG,1
798,Ao Peep,PER,4
799,Apache,ORG,1
800,Apache,PER,2
801,Apanansk,LOC,1
802,Apanansk,ORG,1
803,Apanansk,PER,22
804,Apeland,ORG,1
805,Apeland,PER,13
806,Apex Racingu,ORG,1
807,Apex Racingu,PER,1
808,Aphrod,ORG,2
809,Aphrod,PER,2
810,Apollo,LOC,1
811,Apollo,ORG,8
812,Apollo,PER,18
813,Apollon,ORG,2
814,Apollon,PER,7
815,Apotheka,LOC,3
816,Apotheka,ORG,2
817,Apotheka,PER,1
818,Apple,ORG,2
819,Apple,PER,20
820,Aprilia,LOC,3
821,Aprilia,ORG,1
822,Apteeg,LOC,1
823,Apteeg,ORG,1
824,Apu,LOC,1
825,Apu,ORG,4
826,Aqaba,LOC,1
827,Aqaba,PER,1
828,Aqua,LOC,3
829,Aqua,ORG,1
830,Aqua,PER,2
831,Aquatic Centeris,ORG,1
832,Aquatic Centeris,PER,1
833,Araabia Lawrence,LOC,1
834,Araabia Lawrence,ORG,1
835,Arafa,LOC,3
836,Arafa,PER,1
837,Arafat,LOC,39
838,Arafat,PER,187
839,Arafati,LOC,3
840,Arafati,PER,4
841,Arafatile,LOC,3
842,Arafatile,PER,2
843,Arafatt,LOC,3
844,Arafatt,PER,1
845,Aragon,LOC,1
846,Aragon,ORG,1
847,Araka,LOC,5
848,Araka,ORG,2
849,Araka,PER,22
850,Arakale,LOC,1
851,Arakale,ORG,1
852,Arakale,PER,1
853,Arakat,ORG,2
854,Arakat,PER,1
855,Aramo,LOC,1
856,Aramo,ORG,1
857,Aramo,PER,1
858,Arantxa Sanchez-Vicario,ORG,1
859,Arantxa Sanchez-Vicario,PER,19
860,Aravete,LOC,10
861,Aravete,PER,2
862,Aravete Agro,ORG,4
863,Aravete Agro,PER,2
864,Arbeiter,LOC,2
865,Arbeiter,ORG,5
866,Arbeiter,PER,13
867,Arbil,LOC,2
868,Arbil,PER,12
869,Arbili,ORG,1
