,lemma,tag,0
7564,Bomber,PER,3
7568,Bond,LOC,1
7569,Bond,ORG,1
7570,Bond,PER,3
7602,Borealis,LOC,4
7603,Borealis,ORG,2
7617,Boris,ORG,1
7618,Boris,PER,4
7620,Boris Becker,ORG,1
7621,Boris Becker,PER,22
7686,Borissov,ORG,2
7687,Borissov,PER,10
7693,Bornhöhe,ORG,1
7694,Bornhöhe,PER,2
7699,Borovikule,ORG,2
7700,Borovikule,PER,2
7709,Borussia,ORG,3
7710,Borussia,PER,4
7711,Borussia Dortmund,ORG,4
7712,Borussia Dortmund,PER,7
7713,Borussia Mönchengladbach,ORG,5
7714,Borussia Mönchengladbach,PER,4
7717,Bosch,ORG,1
7718,Bosch,PER,7
7721,Bosman,LOC,1
7722,Bosman,PER,4
7724,Bosnia,LOC,637
7725,Bosnia,ORG,1
7740,Bossit,ORG,1
7741,Bossit,PER,1
7742,Boston,LOC,3
7743,Boston,ORG,46
7744,Boston,PER,2
7765,Botvinnikule,LOC,1
7766,Botvinnikule,ORG,1
7782,Boutros-Ghal,LOC,10
7783,Boutros-Ghal,PER,17
7784,Boutros-Ghali,LOC,1
7785,Boutros-Ghali,PER,14
7786,Boutros-Ghalile,LOC,2
7787,Boutros-Ghalile,PER,2
7788,Boutros-Ghalit,LOC,1
7789,Boutros-Ghalit,PER,2
7804,Brackmann,ORG,8
7805,Brackmann,PER,9
7806,Brackmanni,ORG,1
7807,Brackmanni,PER,1
7814,Brahms,LOC,1
7815,Brahms,ORG,4
7816,Brahms,PER,7
7820,Brajkovic,ORG,1
7821,Brajkovic,PER,1
7823,Bramanis,LOC,3
7824,Bramanis,PER,37
7832,Brandt,ORG,1
7833,Brandt,PER,4
7836,Brann Bergen,ORG,2
7837,Brann Bergen,PER,1
7880,Bremen,LOC,8
7881,Bremen,PER,1
7942,Brit,LOC,109
7943,Brit,ORG,2
7944,Brit,PER,8
8000,Broken Arrow,ORG,1
8001,Broken Arrow,PER,1
8010,Bronto,ORG,2
8011,Bronto,PER,16
8022,Browni,LOC,1
8023,Browni,PER,2
8043,Brundtland,LOC,1
8044,Brundtland,ORG,4
8045,Brundtland,PER,5
8076,Brøndby,LOC,2
8077,Brøndby,PER,2
8096,Buda,ORG,1
8097,Buda,PER,1
8113,Budo,LOC,1
8114,Budo,ORG,9
8115,Budo,PER,1
8124,Buenos,LOC,1
8125,Buenos,PER,1
8127,Buenos Aires,LOC,1
8128,Buenos Aires,ORG,10
8129,Buenos Aires,PER,1
8130,Buffalo,LOC,10
8131,Buffalo,ORG,14
8146,Bukarest,LOC,16
8147,Bukarest,ORG,1
8151,Bukavu,LOC,2
8152,Bukavu,PER,2
8155,Bukowsk,LOC,1
8156,Bukowsk,PER,7
8159,Bukrejev,ORG,1
8160,Bukrejev,PER,5
8185,Bulls,LOC,1
8186,Bulls,PER,23
8192,Bundesligas,ORG,1
8193,Bundesligas,PER,1
8195,Bundesliiga,LOC,7
8196,Bundesliiga,PER,1
8197,Bundesrat,LOC,2
8198,Bundesrat,PER,2
8199,Bundestag,LOC,1
8200,Bundestag,PER,2
8212,Burgsvik,LOC,1
8213,Burgsvik,PER,2
8219,Burley,LOC,1
8220,Burley,PER,1
8226,Bursa Tofas,ORG,7
8227,Bursa Tofas,PER,1
8247,Busquets,LOC,1
8248,Busquets,PER,1
8253,Butinges Nafta,ORG,1
8254,Butinges Nafta,PER,4
8264,Byron,LOC,1
8265,Byron,PER,1
8278,Båstad,LOC,1
8279,Båstad,ORG,1
8284,Böckler,ORG,1
8285,Böckler,PER,1
8303,C-grupp,LOC,2
8304,C-grupp,ORG,1
8322,CCC,LOC,1
8323,CCC,ORG,1
8341,CDU,LOC,1
8342,CDU,ORG,15
8351,CIA,ORG,26
8352,CIA,PER,1
8354,CICR,ORG,4
8355,CICR,PER,1
8357,CJD,LOC,1
8358,CJD,ORG,10
8369,CO,LOC,3
8370,CO,ORG,3
8388,CT,LOC,1
8389,CT,ORG,1
8422,Calgary,LOC,8
8423,Calgary,ORG,20
8438,Calinya,ORG,5
8439,Calinya,PER,1
8450,Cambrinius,LOC,2
8451,Cambrinius,PER,1
8466,Caminero,LOC,1
8467,Caminero,PER,3
8469,Camp David,ORG,1
8470,Camp David,PER,1
8480,Canadiens,LOC,1
8481,Canadiens,PER,2
8486,Candlebox,ORG,1
8487,Candlebox,PER,1
8491,Canizares,LOC,1
8492,Canizares,PER,2
8493,Canmar Miscaroo,ORG,1
8494,Canmar Miscaroo,PER,3
8498,Cannes,LOC,2
8499,Cannes,ORG,1
8517,Capra,LOC,1
8518,Capra,PER,8
8552,Carl Gantois Cup,ORG,2
8553,Carl Gantois Cup,PER,1
8648,Carrols,LOC,1
8649,Carrols,PER,1
8663,Casiraghi,ORG,3
8664,Casiraghi,PER,1
8672,Castaneda,ORG,1
8673,Castaneda,PER,1
8675,Castro,LOC,1
8676,Castro,ORG,1
8677,Castro,PER,6
8706,Cefta,ORG,2
8707,Cefta,PER,2
8717,Celle Ligure,ORG,1
8718,Celle Ligure,PER,3
8725,Celta Vigo,ORG,1
8726,Celta Vigo,PER,1
8728,Celtics,ORG,1
8729,Celtics,PER,4
8738,Central-Sport,ORG,3
8739,Central-Sport,PER,3
8756,Cesis,LOC,5
8757,Cesis,PER,1
8799,Chaplin,LOC,3
8800,Chaplin,ORG,1
8801,Chaplin,PER,11
8812,Chargiertenconvent,LOC,1
8813,Chargiertenconvent,ORG,1
8814,Charikar,LOC,2
8815,Charikar,ORG,3
8874,Chaval,LOC,2
8875,Chaval,PER,3
8888,Chelsea,ORG,7
8889,Chelsea,PER,4
8892,Chemical,ORG,4
8893,Chemical,PER,4
8931,Chicago,LOC,67
8932,Chicago,ORG,35
8952,Chiesa,ORG,1
8953,Chiesa,PER,6
8972,Chomicius,LOC,1
8973,Chomicius,PER,2
8975,Chopin,LOC,1
8976,Chopin,PER,2
8979,Chorzowi Ruch,ORG,1
8980,Chorzowi Ruch,PER,1
9042,Christina,LOC,2
9043,Christina,PER,1
9089,Chrysler,ORG,1
9090,Chrysler,PER,2
9095,Chuan,LOC,1
9096,Chuan,PER,2
9110,Cibus,ORG,2
9111,Cibus,PER,2
9140,Citroën,LOC,1
9141,Citroën,PER,11
9156,Citysec,ORG,2
9157,Citysec,PER,2
9209,Cleveland,LOC,2
9210,Cleveland,ORG,16
9212,Cleveland Cavaliers,ORG,4
9213,Cleveland Cavaliers,PER,1
9225,Clinton,ORG,3
9226,Clinton,PER,206
9235,Clippers,ORG,6
9236,Clippers,PER,4
9242,Club Brügge,ORG,4
9243,Club Brügge,PER,1
9249,Coastal,LOC,1
9250,Coastal,ORG,4
9251,Coastal,PER,1
9254,Coastal Baltica,ORG,6
9255,Coastal Baltica,PER,1
9256,Coastal Baltica Holding,ORG,15
9257,Coastal Baltica Holding,PER,3
9262,Coastal Corporation,ORG,20
9263,Coastal Corporation,PER,1
9272,Coca-Cola,LOC,8
9273,Coca-Cola,ORG,4
9274,Coca-Cola,PER,2
9287,Code One,ORG,1
9288,Code One,PER,1
9301,Colgate-Palmolive,LOC,1
9302,Colgate-Palmolive,PER,1
9326,Colombo,LOC,25
9327,Colombo,PER,1
9330,Colorado,LOC,15
9331,Colorado,ORG,20
9357,Compostela,LOC,2
9358,Compostela,ORG,4
9377,Concordia Klar,ORG,2
9378,Concordia Klar,PER,1
9383,Condor,ORG,3
9384,Condor,PER,3
9387,Coner Kalev,ORG,1
9388,Coner Kalev,PER,1
9407,Consob,ORG,1
9408,Consob,PER,2
9419,Conte,ORG,1
9420,Conte,PER,1
9425,Cooper & Lybrand,ORG,1
9426,Cooper & Lybrand,PER,1
9437,Corbex,ORG,1
9438,Corbex,PER,3
9440,Corell,LOC,1
9441,Corell,PER,1
9458,Corolla,LOC,2
9459,Corolla,PER,1
9461,Corpore,LOC,1
9462,Corpore,ORG,13
9470,Cosmopolitan,LOC,1
9471,Cosmopolitan,ORG,10
9477,Costa Rica,LOC,2
9478,Costa Rica,ORG,6
9521,Creda,ORG,1
9522,Creda,PER,1
9528,Crema,LOC,1
9529,Crema,ORG,1
9532,Cresco,ORG,2
9533,Cresco,PER,14
9551,Crippa,ORG,1
9552,Crippa,PER,1
9572,Cropusa,LOC,6
9573,Cropusa,PER,1
9578,Crown Agents,ORG,1
9579,Crown Agents,PER,3
9602,Curriculum Vitae,ORG,1
9603,Curriculum Vitae,PER,1
9611,Cuzco,LOC,1
9612,Cuzco,ORG,1
9613,Cuzco,PER,1
9627,D-alagrupp,LOC,1
9628,D-alagrupp,ORG,1
9629,D-grupp,LOC,1
9630,D-grupp,ORG,1
9698,DOCOMOMO,ORG,1
9699,DOCOMOMO,PER,1
9729,Dagmar Kutsar,ORG,2
9730,Dagmar Kutsar,PER,6
9732,Dagmar Saareväli,ORG,1
9733,Dagmar Saareväli,PER,5
9737,Dahlin,LOC,2
9738,Dahlin,PER,2
9739,Dahomee,LOC,1
9740,Dahomee,PER,1
9742,Dahshur,LOC,2
9743,Dahshur,PER,1
9763,Daiwa,ORG,1
9764,Daiwa,PER,2
9777,Dallas,ORG,63
9778,Dallas,PER,3
9788,Damascus,LOC,1
9789,Damascus,PER,3
9790,Damaskus,LOC,20
9791,Damaskus,PER,2
9818,Dandy,LOC,1
9819,Dandy,PER,1
9870,Dannebrog,LOC,1
9871,Dannebrog,ORG,1
9872,Dannebrog,PER,1
9885,Danska,ORG,1
9886,Danska,PER,1
9889,Danzig,LOC,1
9890,Danzig,PER,1
9893,Daphnis,ORG,1
9894,Daphnis,PER,4
9900,Dario Fo,ORG,1
9901,Dario Fo,PER,1
9909,Dariusz Zieba,ORG,1
9910,Dariusz Zieba,PER,1
9924,Darwin,LOC,1
9925,Darwin,PER,2
